target,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,inferred
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)Glc-ol,Canis_familiaris,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Canis_lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Canis_lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-3)[Gal(b1-4)]Glc-ol,Canis_lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)Gal(b1-4)Glc-ol,Canis_lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Glc-ol,Canis_lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
GlcNAc(b1-3)Gal(b1-4)Glc-ol,Canis_lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)[Neu5Gc(a2-6)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(?1-?)Gal(?1-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5AcOAc(a2-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-6)Gal(b1-4)GlcNAc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-3)[Gal(b1-4)]GlcNAc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GalNAc(a1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-6)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-3)[Gal(b1-4)]Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-6)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(?1-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-?)[GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-?)[GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-?)[GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-?)Gal(b1-4)Glc-ol,Capra_aegagrus_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-?)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-?)GlcNAc(b1-3)Gal(b1-?)[Fuc(a1-?)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
GalNAc(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Gal(b1-4)Gal(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[Gal(?1-?)Gal(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)Gal(b1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(?1-?)Gal(?1-?)Gal(?1-?)Gal(b1-?)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-8)Neu5Gc(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-?)[Gal(b1-?)]GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)GalNAc(a1-3)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)GalNAc(a1-3)[Neu5Gc(a2-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)GlcNAc(b1-6)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Gal(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Capra_hircus,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,0
